company,location,rocket,mission_status,launch_date,failure,launch_year,launch_decade,rocket_failure_rate,rocket_launch_count,org_failure_rate,past_failure_rate,company_enc,location_enc,rocket_enc
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",Unknown,Failure,1958-09-26 15:38:00+00:00,1,1958.0,1950.0,0.10864197530864197,3240,0.8181818181818182,0.8571428571428571,49,26,55
NASA,"SLC-17A, Cape Canaveral AFS, Florida, USA",Unknown,Partial Failure,1958-10-11 08:42:00+00:00,1,1958.0,1950.0,0.10864197530864197,3240,0.08374384236453201,1.0,35,57,55
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Unknown,Failure,1958-10-11 21:41:00+00:00,1,1958.0,1950.0,0.10864197530864197,3240,0.0891089108910891,0.5,40,83,55
AMBA,"LC-5, Cape Canaveral AFS, Florida, USA",Unknown,Failure,1958-10-23 03:21:00+00:00,1,1958.0,1950.0,0.10864197530864197,3240,0.5714285714285714,0.5,1,36,55
NASA,"SLC-17A, Cape Canaveral AFS, Florida, USA",Unknown,Failure,1958-11-08 07:30:00+00:00,1,1958.0,1950.0,0.10864197530864197,3240,0.08374384236453201,1.0,35,57,55
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Unknown,Failure,1958-12-04 18:18:00+00:00,1,1958.0,1950.0,0.10864197530864197,3240,0.0891089108910891,0.5714285714285714,40,83,55
AMBA,"LC-5, Cape Canaveral AFS, Florida, USA",Unknown,Partial Failure,1958-12-06 05:44:00+00:00,1,1958.0,1950.0,0.10864197530864197,3240,0.5714285714285714,0.5714285714285714,1,36,55
US Air Force,"LC-11, Cape Canaveral AFS, Florida, USA",Unknown,Success,1958-12-18 23:02:00+00:00,0,1958.0,1950.0,0.10864197530864197,3240,0.17834394904458598,0.5,48,21,55
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Unknown,Partial Failure,1959-01-02 16:41:00+00:00,1,1959.0,1950.0,0.10864197530864197,3240,0.0891089108910891,0.625,40,83,55
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",Unknown,Success,1959-02-17 15:55:00+00:00,0,1959.0,1950.0,0.10864197530864197,3240,0.8181818181818182,0.75,49,26,55
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",Unknown,Failure,1959-02-28 21:49:00+00:00,1,1959.0,1950.0,0.10864197530864197,3240,0.17834394904458598,0.6666666666666666,48,60,55
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",Unknown,Success,1959-04-13 21:18:00+00:00,0,1959.0,1950.0,0.10864197530864197,3240,0.17834394904458598,0.5,48,60,55
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",Unknown,Failure,1959-04-14 02:49:00+00:00,1,1959.0,1950.0,0.10864197530864197,3240,0.8181818181818182,0.7777777777777778,49,26,55
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",Unknown,Failure,1959-06-03 20:09:00+00:00,1,1959.0,1950.0,0.10864197530864197,3240,0.17834394904458598,0.6,48,60,55
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Unknown,Failure,1959-06-18 08:08:00+00:00,1,1959.0,1950.0,0.10864197530864197,3240,0.0891089108910891,0.6666666666666666,40,83,55
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",Unknown,Failure,1959-06-22 20:16:00+00:00,1,1959.0,1950.0,0.10864197530864197,3240,0.8181818181818182,0.8,49,26,55
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",Unknown,Failure,1959-06-25 22:47:00+00:00,1,1959.0,1950.0,0.10864197530864197,3240,0.17834394904458598,0.6666666666666666,48,59,55
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",Unknown,Success,1959-08-07 14:24:00+00:00,0,1959.0,1950.0,0.10864197530864197,3240,0.17834394904458598,0.5714285714285714,48,57,55
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",Unknown,Success,1959-08-13 19:00:00+00:00,0,1959.0,1950.0,0.10864197530864197,3240,0.17834394904458598,0.5,48,60,55
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",Unknown,Success,1959-08-19 19:24:00+00:00,0,1959.0,1950.0,0.10864197530864197,3240,0.17834394904458598,0.4444444444444444,48,59,55
NASA,"LC-14, Cape Canaveral AFS, Florida, USA",Unknown,Partial Failure,1959-09-09 08:19:00+00:00,1,1959.0,1950.0,0.10864197530864197,3240,0.08374384236453201,1.0,35,24,55
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Unknown,Success,1959-09-12 06:39:00+00:00,0,1959.0,1950.0,0.10864197530864197,3240,0.0891089108910891,0.6,40,83,55
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",Unknown,Failure,1959-09-17 14:34:00+00:00,1,1959.0,1950.0,0.10864197530864197,3240,0.17834394904458598,0.5,48,57,55
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",Unknown,Partial Failure,1959-09-18 05:20:00+00:00,1,1959.0,1950.0,0.10864197530864197,3240,0.8181818181818182,0.8181818181818182,49,26,55
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Unknown,Success,1959-10-04 00:43:00+00:00,0,1959.0,1950.0,0.10864197530864197,3240,0.0891089108910891,0.5454545454545454,40,83,55
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",Unknown,Success,1959-11-07 20:28:00+00:00,0,1959.0,1950.0,0.10864197530864197,3240,0.17834394904458598,0.45454545454545453,48,60,55
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",Unknown,Failure,1959-11-20 19:25:00+00:00,1,1959.0,1950.0,0.10864197530864197,3240,0.17834394904458598,0.5,48,59,55
General Dynamics,"LC-14, Cape Canaveral AFS, Florida, USA",Unknown,Failure,1959-11-26 07:26:00+00:00,1,1959.0,1950.0,0.10864197530864197,3240,0.18473895582329317,1.0,17,24,55
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",Unknown,Failure,1960-02-04 18:51:00+00:00,1,1960.0,1960.0,0.10864197530864197,3240,0.17834394904458598,0.5384615384615384,48,60,55
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",Unknown,Failure,1960-02-19 20:15:00+00:00,1,1960.0,1960.0,0.10864197530864197,3240,0.17834394904458598,0.5714285714285714,48,59,55
General Dynamics,"LC-14, Cape Canaveral AFS, Florida, USA",Unknown,Failure,1960-02-26 17:25:00+00:00,1,1960.0,1960.0,0.10864197530864197,3240,0.18473895582329317,1.0,17,24,55
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",Unknown,Success,1960-03-11 13:00:00+00:00,0,1960.0,1960.0,0.10864197530864197,3240,0.17834394904458598,0.5333333333333333,48,57,55
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",Unknown,Success,1960-04-01 11:40:00+00:00,0,1960.0,1960.0,0.10864197530864197,3240,0.17834394904458598,0.5,48,57,55
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",Unknown,Success,1960-04-13 12:02:00+00:00,0,1960.0,1960.0,0.10864197530864197,3240,0.17834394904458598,0.47058823529411764,48,58,55
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Unknown,Failure,1960-04-15 15:06:00+00:00,1,1960.0,1960.0,0.10864197530864197,3240,0.0891089108910891,0.5833333333333334,40,83,55
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",Unknown,Success,1960-04-15 20:30:00+00:00,0,1960.0,1960.0,0.10864197530864197,3240,0.17834394904458598,0.4444444444444444,48,59,55
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",Unknown,Failure,1960-05-13 09:16:00+00:00,1,1960.0,1960.0,0.10864197530864197,3240,0.17834394904458598,0.47368421052631576,48,57,55
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Unknown,Success,1960-05-15 00:00:00+00:00,0,1960.0,1960.0,0.10864197530864197,3240,0.0891089108910891,0.5384615384615384,40,83,55
General Dynamics,"LC-14, Cape Canaveral AFS, Florida, USA",Unknown,Success,1960-05-24 17:36:00+00:00,0,1960.0,1960.0,0.10864197530864197,3240,0.18473895582329317,0.6666666666666666,17,24,55
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",Unknown,Success,1960-06-22 05:54:00+00:00,0,1960.0,1960.0,0.10864197530864197,3240,0.17834394904458598,0.45,48,58,55
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",Unknown,Failure,1960-06-29 22:00:00+00:00,1,1960.0,1960.0,0.10864197530864197,3240,0.17834394904458598,0.47619047619047616,48,60,55
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Unknown,Failure,1960-07-28 09:31:00+00:00,1,1960.0,1960.0,0.10864197530864197,3240,0.0891089108910891,0.5714285714285714,40,83,55
NASA,"LC-14, Cape Canaveral AFS, Florida, USA",Unknown,Failure,1960-07-29 13:13:00+00:00,1,1960.0,1960.0,0.10864197530864197,3240,0.08374384236453201,1.0,35,24,55
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",Unknown,Success,1960-08-10 20:37:00+00:00,0,1960.0,1960.0,0.10864197530864197,3240,0.17834394904458598,0.45454545454545453,48,59,55
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",Unknown,Success,1960-08-12 09:39:00+00:00,0,1960.0,1960.0,0.10864197530864197,3240,0.17834394904458598,0.43478260869565216,48,57,55
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",Unknown,Success,1960-08-18 19:57:00+00:00,0,1960.0,1960.0,0.10864197530864197,3240,0.17834394904458598,0.4166666666666667,48,60,55
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",Unknown,Failure,1960-08-18 19:58:00+00:00,1,1960.0,1960.0,0.10864197530864197,3240,0.17834394904458598,0.44,48,58,55
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Unknown,Success,1960-08-19 08:44:00+00:00,0,1960.0,1960.0,0.10864197530864197,3240,0.0891089108910891,0.5333333333333333,40,83,55
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",Unknown,Success,1960-09-13 22:14:00+00:00,0,1960.0,1960.0,0.10864197530864197,3240,0.17834394904458598,0.4230769230769231,48,59,55
General Dynamics,"LC-12, Cape Canaveral AFS, Florida, USA",Unknown,Failure,1960-09-25 15:13:00+00:00,1,1960.0,1960.0,0.10864197530864197,3240,0.18473895582329317,0.75,17,22,55
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",Unknown,Success,1960-10-04 17:50:00+00:00,0,1960.0,1960.0,0.10864197530864197,3240,0.17834394904458598,0.4074074074074074,48,58,55
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Unknown,Failure,1960-10-10 14:27:00+00:00,1,1960.0,1960.0,0.10864197530864197,3240,0.0891089108910891,0.5625,40,83,55
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",Unknown,Failure,1960-10-11 20:33:00+00:00,1,1960.0,1960.0,0.10864197530864197,3240,0.18473895582329317,0.8,17,68,55
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Unknown,Failure,1960-10-14 13:51:00+00:00,1,1960.0,1960.0,0.10864197530864197,3240,0.0891089108910891,0.5882352941176471,40,83,55
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",Unknown,Failure,1960-10-26 20:26:00+00:00,1,1960.0,1960.0,0.10864197530864197,3240,0.17834394904458598,0.42857142857142855,48,60,55
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",Unknown,Success,1960-11-12 20:43:00+00:00,0,1960.0,1960.0,0.10864197530864197,3240,0.17834394904458598,0.41379310344827586,48,59,55
NASA,"LC-5, Cape Canaveral AFS, Florida, USA",Unknown,Failure,1960-11-21 14:00:00+00:00,1,1960.0,1960.0,0.10864197530864197,3240,0.08374384236453201,1.0,35,36,55
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",Unknown,Success,1960-11-23 11:13:00+00:00,0,1960.0,1960.0,0.10864197530864197,3240,0.17834394904458598,0.4,48,57,55
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",Unknown,Failure,1960-11-30 19:50:00+00:00,1,1960.0,1960.0,0.10864197530864197,3240,0.17834394904458598,0.41935483870967744,48,58,55
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Unknown,Success,1960-12-01 07:30:00+00:00,0,1960.0,1960.0,0.10864197530864197,3240,0.0891089108910891,0.5555555555555556,40,83,55
NASA,"LA-3, Wallops Flight Facility, Virginia, USA",Unknown,Failure,1960-12-04 21:14:00+00:00,1,1960.0,1960.0,0.10864197530864197,3240,0.08374384236453201,1.0,35,15,55
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",Unknown,Success,1960-12-07 20:20:00+00:00,0,1960.0,1960.0,0.10864197530864197,3240,0.17834394904458598,0.40625,48,60,55
General Dynamics,"LC-12, Cape Canaveral AFS, Florida, USA",Unknown,Failure,1960-12-15 09:10:00+00:00,1,1960.0,1960.0,0.10864197530864197,3240,0.18473895582329317,0.8333333333333334,17,22,55
NASA,"LC-5, Cape Canaveral AFS, Florida, USA",Unknown,Success,1960-12-19 16:15:00+00:00,0,1960.0,1960.0,0.10864197530864197,3240,0.08374384236453201,0.8571428571428571,35,36,55
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",Unknown,Success,1960-12-20 20:32:00+00:00,0,1960.0,1960.0,0.10864197530864197,3240,0.17834394904458598,0.3939393939393939,48,59,55
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Unknown,Failure,1960-12-22 07:45:00+00:00,1,1960.0,1960.0,0.10864197530864197,3240,0.0891089108910891,0.5789473684210527,40,83,55
NASA,"LC-5, Cape Canaveral AFS, Florida, USA",Unknown,Success,1961-01-31 16:55:00+00:00,0,1961.0,1960.0,0.10864197530864197,3240,0.08374384236453201,0.75,35,36,55
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",Unknown,Success,1961-01-31 20:21:00+00:00,0,1961.0,1960.0,0.10864197530864197,3240,0.18473895582329317,0.7142857142857143,17,68,55
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Unknown,Failure,1961-02-04 01:18:00+00:00,1,1961.0,1960.0,0.10864197530864197,3240,0.0891089108910891,0.6,40,83,55
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Unknown,Success,1961-02-12 00:34:00+00:00,0,1961.0,1960.0,0.10864197530864197,3240,0.0891089108910891,0.5714285714285714,40,83,55
NASA,"LA-3, Wallops Flight Facility, Virginia, USA",Unknown,Success,1961-02-16 13:05:00+00:00,0,1961.0,1960.0,0.10864197530864197,3240,0.08374384236453201,0.6666666666666666,35,15,55
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",Unknown,Success,1961-02-17 20:25:00+00:00,0,1961.0,1960.0,0.10864197530864197,3240,0.17834394904458598,0.38235294117647056,48,60,55
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",Unknown,Success,1961-02-18 22:58:00+00:00,0,1961.0,1960.0,0.10864197530864197,3240,0.17834394904458598,0.37142857142857144,48,59,55
NASA,"LC-14, Cape Canaveral AFS, Florida, USA",Unknown,Success,1961-02-21 14:12:00+00:00,0,1961.0,1960.0,0.10864197530864197,3240,0.08374384236453201,0.6,35,24,55
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",Unknown,Success,1961-02-22 03:45:00+00:00,0,1961.0,1960.0,0.10864197530864197,3240,0.17834394904458598,0.3611111111111111,48,58,55
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Unknown,Success,1961-03-09 06:29:00+00:00,0,1961.0,1960.0,0.10864197530864197,3240,0.0891089108910891,0.5454545454545454,40,83,55
NASA,"LC-5, Cape Canaveral AFS, Florida, USA",Unknown,Success,1961-03-24 17:30:00+00:00,0,1961.0,1960.0,0.10864197530864197,3240,0.08374384236453201,0.5454545454545454,35,36,55
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Unknown,Success,1961-03-25 05:54:00+00:00,0,1961.0,1960.0,0.10864197530864197,3240,0.0891089108910891,0.5217391304347826,40,83,55
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",Unknown,Success,1961-03-25 15:17:00+00:00,0,1961.0,1960.0,0.10864197530864197,3240,0.17834394904458598,0.35135135135135137,48,57,55
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",Unknown,Failure,1961-03-30 20:34:00+00:00,1,1961.0,1960.0,0.10864197530864197,3240,0.17834394904458598,0.3684210526315789,48,60,55
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",Unknown,Success,1961-04-08 19:21:00+00:00,0,1961.0,1960.0,0.10864197530864197,3240,0.17834394904458598,0.358974358974359,48,59,55
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Unknown,Success,1961-04-12 06:07:00+00:00,0,1961.0,1960.0,0.10864197530864197,3240,0.0891089108910891,0.5,40,83,55
NASA,"LC-14, Cape Canaveral AFS, Florida, USA",Unknown,Failure,1961-04-25 16:15:00+00:00,1,1961.0,1960.0,0.10864197530864197,3240,0.08374384236453201,0.5833333333333334,35,24,55
NASA,"LC-5, Cape Canaveral AFS, Florida, USA",Unknown,Success,1961-05-05 14:34:00+00:00,0,1961.0,1960.0,0.10864197530864197,3240,0.08374384236453201,0.5384615384615384,35,36,55
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",Unknown,Failure,1961-06-08 21:16:00+00:00,1,1961.0,1960.0,0.10864197530864197,3240,0.17834394904458598,0.375,48,60,55
US Air Force,"SLC-2E (75-1-1), Vandenberg AFB, California, USA",Unknown,Success,1961-06-16 23:02:00+00:00,0,1961.0,1960.0,0.10864197530864197,3240,0.17834394904458598,0.36585365853658536,48,62,55
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",Unknown,Success,1961-06-29 04:22:00+00:00,0,1961.0,1960.0,0.10864197530864197,3240,0.17834394904458598,0.35714285714285715,48,58,55
NASA,"LA-3, Wallops Flight Facility, Virginia, USA",Unknown,Failure,1961-06-30 17:09:00+00:00,1,1961.0,1960.0,0.10864197530864197,3240,0.08374384236453201,0.5714285714285714,35,15,55
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",Unknown,Success,1961-07-07 23:29:00+00:00,0,1961.0,1960.0,0.10864197530864197,3240,0.17834394904458598,0.3488372093023256,48,59,55
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",Unknown,Success,1961-07-12 10:25:00+00:00,0,1961.0,1960.0,0.10864197530864197,3240,0.17834394904458598,0.3409090909090909,48,57,55
General Dynamics,"SLC-3E, Vandenberg AFB, California, USA",Unknown,Success,1961-07-12 15:11:00+00:00,0,1961.0,1960.0,0.10864197530864197,3240,0.18473895582329317,0.625,17,67,55
NASA,"LC-5, Cape Canaveral AFS, Florida, USA",Unknown,Success,1961-07-21 12:36:00+00:00,0,1961.0,1960.0,0.10864197530864197,3240,0.08374384236453201,0.5333333333333333,35,36,55
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",Unknown,Failure,1961-07-21 22:35:00+00:00,1,1961.0,1960.0,0.10864197530864197,3240,0.17834394904458598,0.35555555555555557,48,60,55
US Air Force,"SLC-2E (75-1-1), Vandenberg AFB, California, USA",Unknown,Failure,1961-08-04 00:01:00+00:00,1,1961.0,1960.0,0.10864197530864197,3240,0.17834394904458598,0.3695652173913043,48,62,55
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Unknown,Success,1961-08-06 06:00:00+00:00,0,1961.0,1960.0,0.10864197530864197,3240,0.0891089108910891,0.48,40,83,55
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",Unknown,Success,1961-08-16 03:21:00+00:00,0,1961.0,1960.0,0.10864197530864197,3240,0.17834394904458598,0.3617021276595745,48,57,55
General Dynamics,"LC-12, Cape Canaveral AFS, Florida, USA",Unknown,Failure,1961-08-23 10:04:00+00:00,1,1961.0,1960.0,0.10864197530864197,3240,0.18473895582329317,0.6666666666666666,17,22,55
NASA,"LA-3, Wallops Flight Facility, Virginia, USA",Unknown,Partial Failure,1961-08-25 18:29:00+00:00,1,1961.0,1960.0,0.10864197530864197,3240,0.08374384236453201,0.5625,35,15,55
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",Unknown,Success,1961-08-30 20:00:00+00:00,0,1961.0,1960.0,0.10864197530864197,3240,0.17834394904458598,0.3541666666666667,48,60,55
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",Unknown,Failure,1961-09-09 19:28:00+00:00,1,1961.0,1960.0,0.10864197530864197,3240,0.18473895582329317,0.7,17,68,55
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",Unknown,Success,1961-09-12 19:59:00+00:00,0,1961.0,1960.0,0.10864197530864197,3240,0.17834394904458598,0.3469387755102041,48,59,55
NASA,"LC-14, Cape Canaveral AFS, Florida, USA",Unknown,Success,1961-09-13 14:04:00+00:00,0,1961.0,1960.0,0.10864197530864197,3240,0.08374384236453201,0.5294117647058824,35,24,55
US Air Force,"SLC-2E (75-1-1), Vandenberg AFB, California, USA",Unknown,Success,1961-09-17 21:00:00+00:00,0,1961.0,1960.0,0.10864197530864197,3240,0.17834394904458598,0.34,48,62,55
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",Unknown,Success,1961-10-13 19:22:00+00:00,0,1961.0,1960.0,0.10864197530864197,3240,0.17834394904458598,0.3333333333333333,48,60,55
General Dynamics,"SLC-3E, Vandenberg AFB, California, USA",Unknown,Partial Failure,1961-10-21 13:53:00+00:00,1,1961.0,1960.0,0.10864197530864197,3240,0.18473895582329317,0.7272727272727273,17,67,55
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",Unknown,Failure,1961-10-23 19:23:00+00:00,1,1961.0,1960.0,0.10864197530864197,3240,0.17834394904458598,0.34615384615384615,48,59,55
RVSN USSR,"Mayak-2, Kapustin Yar, Russia",Unknown,Failure,1961-10-27 16:30:00+00:00,1,1961.0,1960.0,0.10864197530864197,3240,0.0891089108910891,0.5,40,47,55
NASA,"LC-18B, Cape Canaveral AFS, Florida, USA",Unknown,Failure,1961-11-01 15:32:00+00:00,1,1961.0,1960.0,0.10864197530864197,3240,0.08374384236453201,0.5555555555555556,35,27,55
US Air Force,"SLC-2E (75-1-1), Vandenberg AFB, California, USA",Unknown,Failure,1961-11-05 20:00:00+00:00,1,1961.0,1960.0,0.10864197530864197,3240,0.17834394904458598,0.3584905660377358,48,62,55
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",Unknown,Success,1961-11-15 21:23:00+00:00,0,1961.0,1960.0,0.10864197530864197,3240,0.17834394904458598,0.35185185185185186,48,60,55
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",Unknown,Success,1961-11-15 22:26:00+00:00,0,1961.0,1960.0,0.10864197530864197,3240,0.17834394904458598,0.34545454545454546,48,58,55
General Dynamics,"LC-12, Cape Canaveral AFS, Florida, USA",Unknown,Failure,1961-11-18 08:12:00+00:00,1,1961.0,1960.0,0.10864197530864197,3240,0.18473895582329317,0.75,17,22,55
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",Unknown,Failure,1961-11-22 20:45:00+00:00,1,1961.0,1960.0,0.10864197530864197,3240,0.18473895582329317,0.7692307692307693,17,68,55
NASA,"LC-14, Cape Canaveral AFS, Florida, USA",Unknown,Success,1961-11-29 15:08:00+00:00,0,1961.0,1960.0,0.10864197530864197,3240,0.08374384236453201,0.5263157894736842,35,24,55
